,data,taxa_selic,fator_diario
468,2021-09-09,5.15,1.0001993
469,2021-09-08,5.15,1.0001993
470,2021-09-06,5.15,1.0001993
471,2021-09-03,5.15,1.0001993
472,2021-09-02,5.15,1.0001993
473,2021-09-01,5.15,1.0001993
474,2021-08-31,5.15,1.0001993
475,2021-08-30,5.15,1.0001993
476,2021-08-27,5.15,1.0001993
477,2021-08-26,5.15,1.0001993
478,2021-08-25,5.15,1.0001993
479,2021-08-24,5.15,1.0001993
480,2021-08-23,5.15,1.0001993
481,2021-08-20,5.15,1.0001993
482,2021-08-19,5.15,1.0001993
483,2021-08-18,5.15,1.0001993
484,2021-08-17,5.15,1.0001993
485,2021-08-16,5.15,1.0001993
486,2021-08-13,5.15,1.0001993
487,2021-08-12,5.15,1.0001993
488,2021-08-11,5.15,1.0001993
489,2021-08-10,5.15,1.0001993
490,2021-08-09,5.15,1.0001993
491,2021-08-06,5.15,1.0001993
492,2021-08-05,5.15,1.0001993
493,2021-08-04,4.15,1.00016137
494,2021-08-03,4.15,1.00016137
495,2021-08-02,4.15,1.00016137
496,2021-07-30,4.15,1.00016137
497,2021-07-29,4.15,1.00016137
498,2021-07-28,4.15,1.00016137
499,2021-07-27,4.15,1.00016137
500,2021-07-26,4.15,1.00016137
501,2021-07-23,4.15,1.00016137
502,2021-07-22,4.15,1.00016137
503,2021-07-21,4.15,1.00016137
504,2021-07-20,4.15,1.00016137
505,2021-07-19,4.15,1.00016137
506,2021-07-16,4.15,1.00016137
507,2021-07-15,4.15,1.00016137
508,2021-07-14,4.15,1.00016137
509,2021-07-13,4.15,1.00016137
510,2021-07-12,4.15,1.00016137
511,2021-07-09,4.15,1.00016137
512,2021-07-08,4.15,1.00016137
513,2021-07-07,4.15,1.00016137
514,2021-07-06,4.15,1.00016137
515,2021-07-05,4.15,1.00016137
516,2021-07-02,4.15,1.00016137
517,2021-07-01,4.15,1.00016137
518,2021-06-30,4.15,1.00016137
519,2021-06-29,4.15,1.00016137
520,2021-06-28,4.15,1.00016137
521,2021-06-25,4.15,1.00016137
522,2021-06-24,4.15,1.00016137
523,2021-06-23,4.15,1.00016137
524,2021-06-22,4.15,1.00016137
525,2021-06-21,4.15,1.00016137
526,2021-06-18,4.15,1.00016137
527,2021-06-17,4.15,1.00016137
528,2021-06-16,3.4,1.00013269
529,2021-06-15,3.4,1.00013269
530,2021-06-14,3.4,1.00013269
531,2021-06-11,3.4,1.00013269
532,2021-06-10,3.4,1.00013269
533,2021-06-09,3.4,1.00013269
534,2021-06-08,3.4,1.00013269
535,2021-06-07,3.4,1.00013269
536,2021-06-04,3.4,1.00013269
537,2021-06-02,3.4,1.00013269
538,2021-06-01,3.4,1.00013269
539,2021-05-31,3.4,1.00013269
540,2021-05-28,3.4,1.00013269
541,2021-05-27,3.4,1.00013269
542,2021-05-26,3.4,1.00013269
543,2021-05-25,3.4,1.00013269
544,2021-05-24,3.4,1.00013269
545,2021-05-21,3.4,1.00013269
546,2021-05-20,3.4,1.00013269
547,2021-05-19,3.4,1.00013269
548,2021-05-18,3.4,1.00013269
549,2021-05-17,3.4,1.00013269
550,2021-05-14,3.4,1.00013269
551,2021-05-13,3.4,1.00013269
552,2021-05-12,3.4,1.00013269
553,2021-05-11,3.4,1.00013269
554,2021-05-10,3.4,1.00013269
555,2021-05-07,3.4,1.00013269
556,2021-05-06,3.4,1.00013269
557,2021-05-05,2.65,1.00010379
558,2021-05-04,2.65,1.00010379
559,2021-05-03,2.65,1.00010379
560,2021-04-30,2.65,1.00010379
561,2021-04-29,2.65,1.00010379
562,2021-04-28,2.65,1.00010379
563,2021-04-27,2.65,1.00010379
564,2021-04-26,2.65,1.00010379
565,2021-04-23,2.65,1.00010379
566,2021-04-22,2.65,1.00010379
567,2021-04-20,2.65,1.00010379
568,2021-04-19,2.65,1.00010379
569,2021-04-16,2.65,1.00010379
570,2021-04-15,2.65,1.00010379
571,2021-04-14,2.65,1.00010379
572,2021-04-13,2.65,1.00010379
573,2021-04-12,2.65,1.00010379
574,2021-04-09,2.65,1.00010379
575,2021-04-08,2.65,1.00010379
576,2021-04-07,2.65,1.00010379
577,2021-04-06,2.65,1.00010379
578,2021-04-05,2.65,1.00010379
579,2021-04-01,2.65,1.00010379
580,2021-03-31,2.65,1.00010379
581,2021-03-30,2.65,1.00010379
582,2021-03-29,2.65,1.00010379
583,2021-03-26,2.65,1.00010379
584,2021-03-25,2.65,1.00010379
585,2021-03-24,2.65,1.00010379
586,2021-03-23,2.65,1.00010379
587,2021-03-22,2.65,1.00010379
588,2021-03-19,2.65,1.00010379
589,2021-03-18,2.65,1.00010379
590,2021-03-17,1.9,1.00007469
591,2021-03-16,1.9,1.00007469
592,2021-03-15,1.9,1.00007469
593,2021-03-12,1.9,1.00007469
594,2021-03-11,1.9,1.00007469
595,2021-03-10,1.9,1.00007469
596,2021-03-09,1.9,1.00007469
597,2021-03-08,1.9,1.00007469
598,2021-03-05,1.9,1.00007469
599,2021-03-04,1.9,1.00007469
600,2021-03-03,1.9,1.00007469
601,2021-03-02,1.9,1.00007469
602,2021-03-01,1.9,1.00007469
603,2021-02-26,1.9,1.00007469
604,2021-02-25,1.9,1.00007469
605,2021-02-24,1.9,1.00007469
606,2021-02-23,1.9,1.00007469
607,2021-02-22,1.9,1.00007469
608,2021-02-19,1.9,1.00007469
609,2021-02-18,1.9,1.00007469
610,2021-02-17,1.9,1.00007469
611,2021-02-12,1.9,1.00007469
612,2021-02-11,1.9,1.00007469
613,2021-02-10,1.9,1.00007469
614,2021-02-09,1.9,1.00007469
615,2021-02-08,1.9,1.00007469
616,2021-02-05,1.9,1.00007469
617,2021-02-04,1.9,1.00007469
618,2021-02-03,1.9,1.00007469
619,2021-02-02,1.9,1.00007469
620,2021-02-01,1.9,1.00007469
621,2021-01-29,1.9,1.00007469
622,2021-01-28,1.9,1.00007469
623,2021-01-27,1.9,1.00007469
624,2021-01-26,1.9,1.00007469
625,2021-01-25,1.9,1.00007469
626,2021-01-22,1.9,1.00007469
627,2021-01-21,1.9,1.00007469
628,2021-01-20,1.9,1.00007469
629,2021-01-19,1.9,1.00007469
630,2021-01-18,1.9,1.00007469
631,2021-01-15,1.9,1.00007469
632,2021-01-14,1.9,1.00007469
633,2021-01-13,1.9,1.00007469
634,2021-01-12,1.9,1.00007469
